crypto_currency,currency_code,crypto_value,country_code,indicator,frequency,year,avg_wage_value,avg_wage_crypto_value
BTC,USD,57276.69,USA,AVWAGE,A,2016-01-01,63079.25821,1.1013076735055745
BTC,USD,57276.69,USA,AVWAGE,A,2017-01-01,63734.34215,1.1127448557170463
BTC,USD,57276.69,USA,AVWAGE,A,2018-01-01,64396.69684,1.1243089787485974
BTC,USD,57276.69,USA,AVWAGE,A,2019-01-01,65835.57764,1.1494305561302514
BTC,USD,57276.69,EST,AVWAGE,A,2016-01-01,25841.28678,0.4511658543815992
BTC,USD,57276.69,EST,AVWAGE,A,2017-01-01,26554.96128,0.4636259755932125
BTC,USD,57276.69,EST,AVWAGE,A,2018-01-01,28499.25441,0.49757160216485974
BTC,USD,57276.69,EST,AVWAGE,A,2019-01-01,30296.87726,0.5289564962640124
BTC,USD,57276.69,ISR,AVWAGE,A,2016-01-01,36729.29562,0.6412607924794536
BTC,USD,57276.69,ISR,AVWAGE,A,2017-01-01,37745.321,0.6589996907991715
BTC,USD,57276.69,ISR,AVWAGE,A,2018-01-01,38602.96507,0.6739733924917798
BTC,USD,57276.69,ISR,AVWAGE,A,2019-01-01,39403.10257,0.6879430806843063
BTC,USD,57276.69,SVN,AVWAGE,A,2016-01-01,37871.05798,0.661194946495686
BTC,USD,57276.69,SVN,AVWAGE,A,2017-01-01,38503.34068,0.6722340393622607
BTC,USD,57276.69,SVN,AVWAGE,A,2018-01-01,39077.86228,0.6822646748616235
BTC,USD,57276.69,SVN,AVWAGE,A,2019-01-01,40219.62097,0.7021987648029242
BTC,USD,57276.69,OECD,AVWAGE,A,2016-01-01,46897.42165,0.8187872178018666
BTC,USD,57276.69,OECD,AVWAGE,A,2017-01-01,47276.80623,0.8254109347100889
BTC,USD,57276.69,OECD,AVWAGE,A,2018-01-01,47747.77667,0.833633659172693
BTC,USD,57276.69,OECD,AVWAGE,A,2019-01-01,48586.93652,0.8482846428451085
BTC,USD,57276.69,ISL,AVWAGE,A,2016-01-01,61206.55418,1.0686119288666995
BTC,USD,57276.69,ISL,AVWAGE,A,2017-01-01,67709.68977,1.1821508849411513
BTC,USD,57276.69,ISL,AVWAGE,A,2018-01-01,70002.52953,1.2221818252765653
BTC,USD,57276.69,ISL,AVWAGE,A,2019-01-01,68005.79368,1.1873205955162562
BTC,USD,57276.69,NZL,AVWAGE,A,2016-01-01,43183.13048,0.753939001712564
BTC,USD,57276.69,NZL,AVWAGE,A,2017-01-01,43398.99731,0.7577078443255013
BTC,USD,57276.69,NZL,AVWAGE,A,2018-01-01,43769.61954,0.7641785784059798
BTC,USD,57276.69,NZL,AVWAGE,A,2019-01-01,44030.74518,0.7687375995365653
BTC,USD,57276.69,CHL,AVWAGE,A,2016-01-01,27044.38873,0.47217094301364126
BTC,USD,57276.69,CHL,AVWAGE,A,2017-01-01,26313.01752,0.45940185300512304
BTC,USD,57276.69,CHL,AVWAGE,A,2018-01-01,26369.49741,0.4603879415867083
BTC,USD,57276.69,CHL,AVWAGE,A,2019-01-01,26915.8365,0.46992653555923014
BTC,USD,57276.69,LVA,AVWAGE,A,2016-01-01,24662.51202,0.43058549682252933
BTC,USD,57276.69,LVA,AVWAGE,A,2017-01-01,25620.42698,0.4473098389589203
BTC,USD,57276.69,LVA,AVWAGE,A,2018-01-01,26764.56306,0.46728543601245115
BTC,USD,57276.69,LVA,AVWAGE,A,2019-01-01,28453.58675,0.4967742854903102
BTC,USD,57276.69,LTU,AVWAGE,A,2016-01-01,24853.85569,0.43392618690081425
BTC,USD,57276.69,LTU,AVWAGE,A,2017-01-01,26258.4257,0.4584487284443287
BTC,USD,57276.69,LTU,AVWAGE,A,2018-01-01,27368.00667,0.47782102405009785
BTC,USD,57276.69,LTU,AVWAGE,A,2019-01-01,28913.89776,0.5048109057978036
ETH,USD,4186.45,AUS,AVWAGE,A,2016-01-01,54799.8626,13.089816574902365
ETH,USD,4186.45,AUS,AVWAGE,A,2017-01-01,54327.04477,12.976876535011765
ETH,USD,4186.45,AUS,AVWAGE,A,2018-01-01,54147.4705,12.933982371699173
ETH,USD,4186.45,AUS,AVWAGE,A,2019-01-01,54401.4253,12.99464350463997
ETH,USD,4186.45,AUT,AVWAGE,A,2016-01-01,53589.1886,12.800627882812407
ETH,USD,4186.45,AUT,AVWAGE,A,2017-01-01,53436.61223,12.764182596233086
ETH,USD,4186.45,AUT,AVWAGE,A,2018-01-01,53560.92351,12.793876317643829
ETH,USD,4186.45,AUT,AVWAGE,A,2019-01-01,53902.94904,12.875574541676123
ETH,USD,4186.45,BEL,AVWAGE,A,2016-01-01,54883.6518,13.10983095462743
ETH,USD,4186.45,BEL,AVWAGE,A,2017-01-01,54626.06533,13.048302339691146
ETH,USD,4186.45,BEL,AVWAGE,A,2018-01-01,55065.81147,13.153342681747066
ETH,USD,4186.45,BEL,AVWAGE,A,2019-01-01,55590.13046,13.278584590763058
ETH,USD,4186.45,CAN,AVWAGE,A,2016-01-01,51562.73934,12.31657832770008
ETH,USD,4186.45,CAN,AVWAGE,A,2017-01-01,52219.39272,12.473430405235941
ETH,USD,4186.45,CAN,AVWAGE,A,2018-01-01,52831.4837,12.619638046554957
ETH,USD,4186.45,CAN,AVWAGE,A,2019-01-01,53198.17296,12.707227593784712
ETH,USD,4186.45,CZE,AVWAGE,A,2016-01-01,25819.17199,6.167318847711067
ETH,USD,4186.45,CZE,AVWAGE,A,2017-01-01,26888.62221,6.422773999450609
ETH,USD,4186.45,CZE,AVWAGE,A,2018-01-01,28360.36471,6.774323044584315
ETH,USD,4186.45,CZE,AVWAGE,A,2019-01-01,29280.78997,6.9941812203657046
ETH,USD,4186.45,DNK,AVWAGE,A,2016-01-01,56883.11049,13.587433383893275
ETH,USD,4186.45,DNK,AVWAGE,A,2017-01-01,56277.32497,13.442731901730584
ETH,USD,4186.45,DNK,AVWAGE,A,2018-01-01,56827.52767,13.574156545521863
ETH,USD,4186.45,DNK,AVWAGE,A,2019-01-01,57149.59431,13.651087272032392
ETH,USD,4186.45,FIN,AVWAGE,A,2016-01-01,44975.60703,10.743137271435225
ETH,USD,4186.45,FIN,AVWAGE,A,2017-01-01,44864.41587,10.716577498835528
ETH,USD,4186.45,FIN,AVWAGE,A,2018-01-01,45023.39388,10.75455191869006
ETH,USD,4186.45,FIN,AVWAGE,A,2019-01-01,45697.55615,10.915586272378745
ETH,USD,4186.45,FRA,AVWAGE,A,2016-01-01,45610.18378,10.894715995652641
ETH,USD,4186.45,FRA,AVWAGE,A,2017-01-01,46162.80625,11.026718639897766
ETH,USD,4186.45,FRA,AVWAGE,A,2018-01-01,46256.36191,11.049065893537485
ETH,USD,4186.45,FRA,AVWAGE,A,2019-01-01,46480.6154,11.102632397377254
ETH,USD,4186.45,DEU,AVWAGE,A,2016-01-01,51622.98488,12.330968930716958
ETH,USD,4186.45,DEU,AVWAGE,A,2017-01-01,52181.30995,12.464333731443109
ETH,USD,4186.45,DEU,AVWAGE,A,2018-01-01,52929.5536,12.643063598036523
ETH,USD,4186.45,DEU,AVWAGE,A,2019-01-01,53637.8016,12.812239869101507
ETH,USD,4186.45,GRC,AVWAGE,A,2016-01-01,27394.53173,6.543618514493186
ETH,USD,4186.45,GRC,AVWAGE,A,2017-01-01,27321.80061,6.526245532611162
ETH,USD,4186.45,GRC,AVWAGE,A,2018-01-01,27479.68523,6.563958778917699
ETH,USD,4186.45,GRC,AVWAGE,A,2019-01-01,27459.1259,6.5590478567760275
ETH,USD,4186.45,HUN,AVWAGE,A,2016-01-01,21810.41182,5.209762882633258
ETH,USD,4186.45,HUN,AVWAGE,A,2017-01-01,23527.36545,5.619884496411041
ETH,USD,4186.45,HUN,AVWAGE,A,2018-01-01,24702.95934,5.900693747685987
ETH,USD,4186.45,HUN,AVWAGE,A,2019-01-01,26223.19671,6.263826561884175
ETH,USD,4186.45,IRL,AVWAGE,A,2016-01-01,49030.4212,11.711693965053923
ETH,USD,4186.45,IRL,AVWAGE,A,2017-01-01,49585.17818,11.84420647087628
ETH,USD,4186.45,IRL,AVWAGE,A,2018-01-01,49695.39773,11.870534159013006
ETH,USD,4186.45,IRL,AVWAGE,A,2019-01-01,50490.47141,12.060450121224427
ETH,USD,4186.45,ITA,AVWAGE,A,2016-01-01,38982.24797,9.311528376070417
ETH,USD,4186.45,ITA,AVWAGE,A,2017-01-01,38706.95871,9.24577116889011
ETH,USD,4186.45,ITA,AVWAGE,A,2018-01-01,38852.72523,9.280589814759521
ETH,USD,4186.45,ITA,AVWAGE,A,2019-01-01,39189.36576,9.361001746109473
ETH,USD,4186.45,JPN,AVWAGE,A,2016-01-01,37896.31241,9.052135439334043
ETH,USD,4186.45,JPN,AVWAGE,A,2017-01-01,38084.71057,9.097137328763035
ETH,USD,4186.45,JPN,AVWAGE,A,2018-01-01,38193.16835,9.123044190185002
ETH,USD,4186.45,JPN,AVWAGE,A,2019-01-01,38617.46549,9.22439429349449
ETH,USD,4186.45,KOR,AVWAGE,A,2016-01-01,38617.35471,9.224367831933979
ETH,USD,4186.45,KOR,AVWAGE,A,2017-01-01,39551.53296,9.447511127566315
ETH,USD,4186.45,KOR,AVWAGE,A,2018-01-01,40820.34833,9.750587808286257
ETH,USD,4186.45,KOR,AVWAGE,A,2019-01-01,42284.78911,10.100392721757098
ETH,USD,4186.45,LUX,AVWAGE,A,2016-01-01,68503.77293,16.363212968027806
ETH,USD,4186.45,LUX,AVWAGE,A,2017-01-01,69541.03065,16.610978430412402
ETH,USD,4186.45,LUX,AVWAGE,A,2018-01-01,69556.26185,16.614616644173463
ETH,USD,4186.45,LUX,AVWAGE,A,2019-01-01,68680.52973,16.40543413393209
ETH,USD,4186.45,MEX,AVWAGE,A,2016-01-01,16981.33584,4.056261472130325
ETH,USD,4186.45,MEX,AVWAGE,A,2017-01-01,16984.11528,4.05692538546979
ETH,USD,4186.45,MEX,AVWAGE,A,2018-01-01,17180.80319,4.1039074132021165
ETH,USD,4186.45,MEX,AVWAGE,A,2019-01-01,17594.46105,4.202716155692771
ETH,USD,4186.45,NLD,AVWAGE,A,2016-01-01,57573.20166,13.752272608056947
ETH,USD,4186.45,NLD,AVWAGE,A,2017-01-01,57138.28325,13.648385445902854
ETH,USD,4186.45,NLD,AVWAGE,A,2018-01-01,56708.92587,13.5458266239893
ETH,USD,4186.45,NLD,AVWAGE,A,2019-01-01,56552.29043,13.508411764143846
ETH,USD,4186.45,NOR,AVWAGE,A,2016-01-01,52943.44998,12.646382968863835
ETH,USD,4186.45,NOR,AVWAGE,A,2017-01-01,53034.32566,12.66809006676301
ETH,USD,4186.45,NOR,AVWAGE,A,2018-01-01,53484.64221,12.775655318945645
ETH,USD,4186.45,NOR,AVWAGE,A,2019-01-01,54027.48705,12.905322421144408
ETH,USD,4186.45,POL,AVWAGE,A,2016-01-01,26934.07273,6.433630577219363
ETH,USD,4186.45,POL,AVWAGE,A,2017-01-01,28070.80769,6.705157756571798
ETH,USD,4186.45,POL,AVWAGE,A,2018-01-01,30090.88308,7.187684811713982
ETH,USD,4186.45,POL,AVWAGE,A,2019-01-01,31969.56803,7.636438517120711
ETH,USD,4186.45,PRT,AVWAGE,A,2016-01-01,26023.70855,6.216175650013735
ETH,USD,4186.45,PRT,AVWAGE,A,2017-01-01,26141.28364,6.244260325574174
ETH,USD,4186.45,PRT,AVWAGE,A,2018-01-01,26413.09577,6.309186965089754
ETH,USD,4186.45,PRT,AVWAGE,A,2019-01-01,26633.71719,6.361885891387692
ETH,USD,4186.45,SVK,AVWAGE,A,2016-01-01,22947.42395,5.481356268437459
ETH,USD,4186.45,SVK,AVWAGE,A,2017-01-01,23610.42637,5.639724914904036
ETH,USD,4186.45,SVK,AVWAGE,A,2018-01-01,24254.01607,5.793456525218264
ETH,USD,4186.45,SVK,AVWAGE,A,2019-01-01,25452.38663,6.079706345471701
ETH,USD,4186.45,ESP,AVWAGE,A,2016-01-01,39413.14818,9.414455727406274
ETH,USD,4186.45,ESP,AVWAGE,A,2017-01-01,38897.90764,9.291382350201244
ETH,USD,4186.45,ESP,AVWAGE,A,2018-01-01,38554.41746,9.209334271279962
ETH,USD,4186.45,ESP,AVWAGE,A,2019-01-01,38757.56996,9.257860468893693
ETH,USD,4186.45,SWE,AVWAGE,A,2016-01-01,45552.08133,10.880837303682117
ETH,USD,4186.45,SWE,AVWAGE,A,2017-01-01,45818.05044,10.944368245171924
ETH,USD,4186.45,SWE,AVWAGE,A,2018-01-01,46061.69242,11.002565997444135
ETH,USD,4186.45,SWE,AVWAGE,A,2019-01-01,46695.34986,11.153925129883316
ETH,USD,4186.45,CHE,AVWAGE,A,2016-01-01,66349.80362,15.848703225883508
ETH,USD,4186.45,CHE,AVWAGE,A,2017-01-01,66131.82428,15.796635402309834
ETH,USD,4186.45,CHE,AVWAGE,A,2018-01-01,66120.94281,15.794036190567185
ETH,USD,4186.45,CHE,AVWAGE,A,2019-01-01,66566.72632,15.90051865422972
ETH,USD,4186.45,GBR,AVWAGE,A,2016-01-01,46087.95586,11.008839436754291
ETH,USD,4186.45,GBR,AVWAGE,A,2017-01-01,46492.67666,11.105513420678617
ETH,USD,4186.45,GBR,AVWAGE,A,2018-01-01,46655.52243,11.144411716370671
ETH,USD,4186.45,GBR,AVWAGE,A,2019-01-01,47226.08766,11.280700273501415
ETH,USD,4186.45,USA,AVWAGE,A,2016-01-01,63079.25821,15.067481567915538
ETH,USD,4186.45,USA,AVWAGE,A,2017-01-01,63734.34215,15.22395875980843
ETH,USD,4186.45,USA,AVWAGE,A,2018-01-01,64396.69684,15.382172685688351
ETH,USD,4186.45,USA,AVWAGE,A,2019-01-01,65835.57764,15.725872192430343
ETH,USD,4186.45,EST,AVWAGE,A,2016-01-01,25841.28678,6.1726013161509155
ETH,USD,4186.45,EST,AVWAGE,A,2017-01-01,26554.96128,6.343073792831635
ETH,USD,4186.45,EST,AVWAGE,A,2018-01-01,28499.25441,6.807499052896846
ETH,USD,4186.45,EST,AVWAGE,A,2019-01-01,30296.87726,7.236889789678607
ETH,USD,4186.45,ISR,AVWAGE,A,2016-01-01,36729.29562,8.773374964468703
ETH,USD,4186.45,ISR,AVWAGE,A,2017-01-01,37745.321,9.016068745595911
ETH,USD,4186.45,ISR,AVWAGE,A,2018-01-01,38602.96507,9.220930638130158
ETH,USD,4186.45,ISR,AVWAGE,A,2019-01-01,39403.10257,9.412056174085443
ETH,USD,4186.45,SVN,AVWAGE,A,2016-01-01,37871.05798,9.046103018070202
ETH,USD,4186.45,SVN,AVWAGE,A,2017-01-01,38503.34068,9.197133772050305
ETH,USD,4186.45,SVN,AVWAGE,A,2018-01-01,39077.86228,9.334367370922859
ETH,USD,4186.45,SVN,AVWAGE,A,2019-01-01,40219.62097,9.607094547886636
ETH,USD,4186.45,OECD,AVWAGE,A,2016-01-01,46897.42165,11.202193182768216
ETH,USD,4186.45,OECD,AVWAGE,A,2017-01-01,47276.80623,11.292815208589618
ETH,USD,4186.45,OECD,AVWAGE,A,2018-01-01,47747.77667,11.405313970070107
ETH,USD,4186.45,OECD,AVWAGE,A,2019-01-01,48586.93652,11.605760613407542
ETH,USD,4186.45,ISL,AVWAGE,A,2016-01-01,61206.55418,14.620156500137348
ETH,USD,4186.45,ISL,AVWAGE,A,2017-01-01,67709.68977,16.17353360723286
ETH,USD,4186.45,ISL,AVWAGE,A,2018-01-01,70002.52953,16.721214759521793
ETH,USD,4186.45,ISL,AVWAGE,A,2019-01-01,68005.79368,16.244262723787458
ETH,USD,4186.45,NZL,AVWAGE,A,2016-01-01,43183.13048,10.314975810053864
ETH,USD,4186.45,NZL,AVWAGE,A,2017-01-01,43398.99731,10.366539027099332
ETH,USD,4186.45,NZL,AVWAGE,A,2018-01-01,43769.61954,10.455068026609657
ETH,USD,4186.45,NZL,AVWAGE,A,2019-01-01,44030.74518,10.517442028448924
ETH,USD,4186.45,CHL,AVWAGE,A,2016-01-01,27044.38873,6.459981303968756
ETH,USD,4186.45,CHL,AVWAGE,A,2017-01-01,26313.01752,6.28528168734847
ETH,USD,4186.45,CHL,AVWAGE,A,2018-01-01,26369.49741,6.298772805121285
ETH,USD,4186.45,CHL,AVWAGE,A,2019-01-01,26915.8365,6.429274564368379
ETH,USD,4186.45,LVA,AVWAGE,A,2016-01-01,24662.51202,5.891032263612368
ETH,USD,4186.45,LVA,AVWAGE,A,2017-01-01,25620.42698,6.11984544900811
ETH,USD,4186.45,LVA,AVWAGE,A,2018-01-01,26764.56306,6.393140503290378
ETH,USD,4186.45,LVA,AVWAGE,A,2019-01-01,28453.58675,6.796590607794193
ETH,USD,4186.45,LTU,AVWAGE,A,2016-01-01,24853.85569,5.936737734835003
ETH,USD,4186.45,LTU,AVWAGE,A,2017-01-01,26258.4257,6.272241565049147
ETH,USD,4186.45,LTU,AVWAGE,A,2018-01-01,27368.00667,6.537282583095463
ETH,USD,4186.45,LTU,AVWAGE,A,2019-01-01,28913.89776,6.906543195308675
DOGE,USD,0.4918,AUS,AVWAGE,A,2016-01-01,54799.8626,111427.1301342009
DOGE,USD,0.4918,AUS,AVWAGE,A,2017-01-01,54327.04477,110465.72747051647
DOGE,USD,0.4918,AUS,AVWAGE,A,2018-01-01,54147.4705,110100.59068727125
DOGE,USD,0.4918,AUS,AVWAGE,A,2019-01-01,54401.4253,110616.9688897926
DOGE,USD,0.4918,AUT,AVWAGE,A,2016-01-01,53589.1886,108965.40992273281
DOGE,USD,0.4918,AUT,AVWAGE,A,2017-01-01,53436.61223,108655.16923546157
DOGE,USD,0.4918,AUT,AVWAGE,A,2018-01-01,53560.92351,108907.93718991459
DOGE,USD,0.4918,AUT,AVWAGE,A,2019-01-01,53902.94904,109603.39373729158
DOGE,USD,0.4918,BEL,AVWAGE,A,2016-01-01,54883.6518,111597.50264335095
DOGE,USD,0.4918,BEL,AVWAGE,A,2017-01-01,54626.06533,111073.7399959333
DOGE,USD,0.4918,BEL,AVWAGE,A,2018-01-01,55065.81147,111967.89644164294
